               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,             0.02678,            0.027975,           0.0039106,             0.74897,              0.7284,             0.79234,             0.56148,            0.024749,            0.018552,           0.0098853,           0.0044313,           0.0044313,           0.0044313
                  47,            0.026606,            0.027641,           0.0037946,             0.76274,             0.72653,              0.7912,              0.5613,             0.02455,            0.018443,            0.009958,           0.0043075,           0.0043075,           0.0043075
                  48,              0.0263,            0.027621,           0.0037676,             0.76003,             0.73422,              0.7868,             0.56405,            0.024649,             0.01846,           0.0091235,           0.0041837,           0.0041837,           0.0041837
                  49,             0.02608,            0.027709,           0.0034017,             0.75335,             0.73898,             0.79007,             0.56283,            0.024803,            0.018544,           0.0088878,             0.00406,             0.00406,             0.00406
                  50,            0.026182,            0.027455,           0.0037461,             0.74946,             0.73789,             0.79459,             0.56206,            0.024662,            0.018396,            0.010407,           0.0039362,           0.0039362,           0.0039362
                  51,              0.0263,            0.027458,           0.0036104,             0.74589,             0.74598,             0.79392,             0.56731,            0.024895,            0.018231,            0.010831,           0.0038125,           0.0038125,           0.0038125
                  52,            0.025952,            0.027684,           0.0035468,             0.77453,             0.72992,             0.79527,             0.57194,            0.024505,            0.018177,           0.0096056,           0.0036888,           0.0036888,           0.0036888
                  53,            0.026009,             0.02739,           0.0033311,             0.77854,              0.7363,             0.79394,             0.56958,            0.024863,            0.018282,            0.010317,            0.003565,            0.003565,            0.003565
                  54,            0.025515,            0.026797,           0.0034819,             0.77708,              0.7359,             0.79669,             0.57302,            0.024435,            0.018295,           0.0093854,           0.0034413,           0.0034413,           0.0034413
                  55,            0.025629,            0.027023,           0.0033208,             0.76429,              0.7395,             0.79667,             0.57513,            0.024605,            0.018257,           0.0097162,           0.0033175,           0.0033175,           0.0033175
                  56,            0.025646,            0.027334,           0.0031343,             0.75539,             0.74592,             0.79615,             0.57517,            0.024789,            0.018236,           0.0094472,           0.0031938,           0.0031938,           0.0031938
                  57,            0.025341,             0.02669,           0.0034219,             0.77763,             0.73732,             0.79839,             0.57783,            0.024529,             0.01812,           0.0095738,             0.00307,             0.00307,             0.00307
                  58,            0.025155,            0.027319,           0.0029851,             0.76194,             0.75749,             0.79856,              0.5776,            0.024461,            0.018119,           0.0097561,           0.0029462,           0.0029462,           0.0029462
                  59,            0.025122,            0.026718,            0.003008,             0.77062,             0.73822,             0.79694,              0.5792,            0.024535,            0.018272,            0.010262,           0.0028225,           0.0028225,           0.0028225
                  60,            0.025039,            0.026849,           0.0028695,             0.75834,             0.74787,             0.80146,             0.58139,            0.024568,            0.018263,           0.0098915,           0.0026987,           0.0026987,           0.0026987
                  61,            0.024591,            0.026228,           0.0027059,             0.78156,             0.73068,             0.80076,             0.57946,             0.02464,            0.018305,           0.0094738,            0.002575,            0.002575,            0.002575
